entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2025-05-08 22:00:00,2025-05-08 23:00:00,SHORT,2179.86,2185.01,2102.61,2185.01,SL,-55.5,23.52,-79.02,-1.42,LOSS,4042.41,bearish,90.95,85.0
2025-05-09 18:00:00,2025-06-21 21:00:00,LONG,2350.02,2298.16,3127.92,2298.16,SL,-80.85,3.62,-84.47,-1.04,LOSS,3957.94,bullish,67.73,77.52
2025-06-21 23:00:00,2025-06-22 00:00:00,LONG,2286.59,2281.8,2358.44,2281.8,SL,-47.26,22.54,-69.8,-1.48,LOSS,3888.15,bullish,21.12,36.28
2025-06-22 18:00:00,2025-06-22 20:00:00,SHORT,2192.27,2197.0,2121.32,2197.0,SL,-47.82,22.19,-70.0,-1.46,LOSS,3818.14,bearish,29.86,29.38
2025-06-23 00:00:00,2025-06-23 01:00:00,SHORT,2227.7,2233.81,2136.05,2233.81,SL,-59.69,21.79,-81.48,-1.37,LOSS,3736.66,bearish,44.06,32.0
2025-06-23 03:00:00,2025-06-23 05:00:00,SHORT,2239.06,2246.11,2133.31,2246.11,SL,-67.06,21.33,-88.4,-1.32,LOSS,3648.26,bearish,46.97,34.72
2025-06-23 10:00:00,2025-06-23 12:00:00,SHORT,2252.01,2261.99,2102.31,2261.99,SL,-72.97,16.5,-89.47,-1.23,LOSS,3558.8,bearish,50.61,45.79
2025-06-23 15:00:00,2025-06-23 18:00:00,SHORT,2274.01,2295.29,1954.81,2295.29,SL,-71.18,7.64,-78.82,-1.11,LOSS,3479.98,bearish,55.48,51.36
2025-06-23 22:00:00,2025-06-23 23:00:00,SHORT,2341.16,2347.13,2251.61,2347.13,SL,-50.58,19.86,-70.44,-1.39,LOSS,3409.54,bearish,64.68,55.36
2025-06-24 09:00:00,2025-06-25 14:00:00,LONG,2403.24,2393.31,2552.19,2393.31,SL,-68.19,16.47,-84.66,-1.24,LOSS,3324.88,bullish,62.7,67.43
